interview_id,alter,geschlecht,einkommen,beruf,wahlabsicht,cluster_id,topic,topic_summary,umap_x,umap_y
B2M5_680,29.0,männlich,2000-3000€,Altenpfleger,FDP,0,Bewertung der aktuellen Lage in Deutschland,"Der Proband ist sehr unzufrieden mit der aktuellen Lage in Deutschland und sieht vor allem in der Wirtschaft gravierende Probleme. Er bemängelt, dass die Wirtschaft nicht wächst und viele Produktionsunternehmen insolvent gehen, was er als Hauptursache für die schlechte wirtschaftliche Entwicklung ansieht. Zudem fühlt er sich selbst nicht als Wirtschaftsexperte.",7.4477034,12.702642
B2M5_680,29.0,männlich,2000-3000€,Altenpfleger,FDP,0,Gründe für eine mögliche Krise Deutschlands,"Der Interviewte ist der Meinung, dass die Probleme in Deutschland hausgemacht sind und nicht durch äußere Faktoren wie Pandemie oder Krieg bedingt werden. Er fordert als Lösung eine Senkung von Steuern und Zinsen sowie den Abbau von Bürokratie, um die Wirtschaft in Schwung zu bringen. Insbesondere wünscht er sich eine Modernisierung der öffentlichen Verwaltung durch Reduzierung von Fax- und Postverfahren, digitale Dokumenten-Uploads per App und weniger Regulierungen für schnellere und effizientere Abläufe.",7.4477034,12.702642
B2M5_680,29.0,männlich,2000-3000€,Altenpfleger,FDP,0,Lösungen für die Probleme,"Der Proband hält eine verstärkte Digitalisierung für positiv, insbesondere im Medizin- und Handelsbereich. Er betont Vorteile wie flexible Terminvergabe über Apps und digitales Datenmanagement ohne physische Akten. Als Haupthemmnis sieht er umfangreiche gesetzliche Regelungen, die digitale Systeme einschränken. Zur Überwindung fordert er die Abschaffung alter oder unrealistischer Regeln durch den Gesetzgeber, um die Digitalisierung voranzutreiben.",7.4477034,12.702642
B2M5_680,29.0,männlich,2000-3000€,Altenpfleger,FDP,0,Allgemeines Weltbild,"Der Proband beschreibt sich als optimistischen und ehrgeizigen Menschen, der stets lernen möchte. Er blickt positiv in die Zukunft, möchte jedoch seine konkreten persönlichen Ziele nicht teilen.",-7.6112084,6.1963916
B2M5_680,29.0,männlich,2000-3000€,Altenpfleger,FDP,0,Informationsquellen,"Der Interviewte nutzt traditionelle (DW, Spiegel) und digitale (YouTube, Instagram) Quellen und vergleicht deren Informationen, um politische Inhalte zu bewerten, ohne dabei feste Glaubwürdigkeitskriterien anzulegen. Gespräche mit Mitbewohnern erweitert seine Perspektive auf politische Themen.",17.202942,1.2855369
B3N2_26,25.0,männlich,1000-2000€,Sozialpädagoge,SPD,1,Bewertung der aktuellen Lage in Deutschland,"Der Proband empfindet die aktuelle Lage in Deutschland als rückständig und „in der Vergangenheit lebend“. Besonders kritisch sieht er den Jobmarkt, dessen Probleme er auf umfassende Bürokratie der Arbeitgeber und langsame Prozesse zurückführt. Positiv bewertet er hingegen das Angebot und den Service der Bäckereien. Die allgemeine Stimmung in Deutschland beschreibt er als schlechter als früher, wobei er ähnliche Verschlechterungen auch in anderen Ländern wahrnimmt.",8.446443,11.004665
B3N2_26,25.0,männlich,1000-2000€,Sozialpädagoge,SPD,1,Gründe für eine mögliche Krise Deutschlands,"Der Interviewte sieht die aktuellen Herausforderungen in Deutschland als Folge einer Mischung aus äußeren Einflüssen und hausgemachten politischen Fehlentscheidungen. Er erklärt, dass die Abhängigkeit von billiger Energie, fehlende Technologieinitiativen, übermäßige Regulierung und eine unflexible Wirtschaft die Probleme verschärfen. Verantwortlich macht er alte und risikoaverse Führungskräfte, die er als faul bezeichnet. Als Lösung schlägt er vor, Bürokratie abzubauen, den Arbeitnehmerurlaub zu reduzieren und Initiativen zu schaffen, die Investoren und junge Gründer unterstützen.",8.446443,11.004665
B3N2_26,25.0,männlich,1000-2000€,Sozialpädagoge,SPD,1,Lösungen für die Probleme,"Der Befragte fordert, dass insbesondere die Boomer-Generation ihre Steuern zahlt, um Umverteilung zu ermöglichen, empfiehlt eine Analyse der Funktionsweise Westdeutschlands in den 80er Jahren zur Ableitung positiver Modelle und sieht die Notwendigkeit einer Modernisierung aller Bereiche in Deutschland.",8.446443,11.004665
B3N2_26,25.0,männlich,1000-2000€,Sozialpädagoge,SPD,1,Allgemeines Weltbild,"Der Proband berichtet, dass er sich kaum noch Urlaubsreisen und Freizeitaktivitäten leisten kann, beobachtet wachsende gesellschaftliche Unterschiede und erwartet negative Folgen für die Mehrheit. Er fordert ein Eingreifen von Staat und politischer Führung, zeigt sich jedoch pessimistisch und hält die Umsetzung konkreter Maßnahmen zur Verringerung der Ungleichheit für unmöglich.",-6.5242376,5.054303
B3N2_26,25.0,männlich,1000-2000€,Sozialpädagoge,SPD,1,Informationsquellen,"Der Befragte informiert sich überwiegend über offizielle Dokumente, um Agenden und Fake News zu vermeiden, lehnt Chatgruppen und soziale Medien als politische Informationsquellen ab und betrachtet die Berichterstattung von ARD und ZDF als etwas, das vor allem die Boomer-Generation anspricht.",16.517757,2.253644
B4D2_856,44.0,männlich,3000-5000€,Lehrer,SPD,1,Bewertung der aktuellen Lage in Deutschland,"Der Proband bewertet die aktuelle Lage in Deutschland durchweg positiv und findet, dass grundsätzlich alle Bereiche gut laufen. Einzig die Pünktlichkeit der Bahn kritisiert er stark und empfindet die Verspätungen als generelles Ärgernis. Zugleich nimmt er wahr, dass die allgemeine Stimmung in Deutschland nicht besonders gut ist, kann sich dafür aber keine Ursache erklären.",8.409006,11.608356
B4D2_856,44.0,männlich,3000-5000€,Lehrer,SPD,1,Gründe für eine mögliche Krise Deutschlands,"Der Proband äußert keine eigene Einschätzung zu den Ursachen, sondern fordert den Interviewer auf, seine Meinung darzulegen.",8.409006,11.608356
B4D2_856,44.0,männlich,3000-5000€,Lehrer,SPD,1,Lösungen für die Probleme,"Der Proband befürwortet eine Umverteilung von Vermögen von reichen zu ärmeren Menschen, um Deutschland wieder in Schwung zu bringen und die Lebensqualität zu verbessern. Er zeigt Zustimmung zu dem Vorschlag, hat jedoch keine eigenen weiteren Ideen für andere Maßnahmen und kann die Begriffe „reich“ und „arm“ nicht sinnvoll definieren.",8.409006,11.608356
B4D2_856,44.0,männlich,3000-5000€,Lehrer,SPD,1,Allgemeines Weltbild,"Der Befragte lehnt den Leitspruch 'Jeder ist seines eigenen Glückes Schmied' ab und begründet dies damit, dass Erbschaften die Chancen zur Lebensgestaltung und Zukunftssicherheit maßgeblich beeinflussen.",-6.679989,5.4448385
B4D2_856,44.0,männlich,3000-5000€,Lehrer,SPD,1,Informationsquellen,"Der Befragte informiert sich politisch ausschließlich im Internet, bevorzugt dabei die SPD-Website spd.de und die Tagesschau. Er nimmt keine Chatgruppen oder weitere Social-Media-Kanäle wahr und folgt online einzig dem Moderator Ingo Zamperoni, den er positiv bewertet und dessen Berichterstattung er schätzt.",16.311409,2.9533825
B4O0_121,34.0,weiblich,2000-3000€,Content-Managerin,Grüne,2,Bewertung der aktuellen Lage in Deutschland,"Der Gesprächspartner sieht die politische Kommunikation als dysfunktional und die Handlungsräume der Verwaltung als zu verrechtlicht, was in Kombination mit kurzen Legislatur- und Budgetzyklen die Anpassungsfähigkeit des Systems stark einschränkt. Positiv hebt er hervor, dass Entscheidungsträger in Politik und Ministerien kompetenter sind, als öffentlich wahrgenommen, aber durch fehlende Kapazitäten und Anreize für Zukunftsthemen begrenzt werden. Die allgemeine Stimmung in Deutschland bewertet er als eher negativ, bedingt durch einen Negativitätsfokus der Medien und die menschliche Neigung, stärker auf negative Nachrichten zu reagieren. Dennoch blickt er optimistisch in die Zukunft, weil eine gesellschaftliche Bereitschaft zu Veränderungen und Reformen vorhanden ist.",6.826326,11.079719
B4O0_121,34.0,weiblich,2000-3000€,Content-Managerin,Grüne,2,Gründe für eine mögliche Krise Deutschlands,"Der Proband führt an, dass die Krisen in Deutschland nicht durch äußere Einflüsse, sondern durch hausgemachte, also interne Ursachen bedingt sind. Weitere Lösungsansätze verweist er auf frühere Ausführungen und gibt an, sie bereits erklärt zu haben.",6.826326,11.079719
B4O0_121,34.0,weiblich,2000-3000€,Content-Managerin,Grüne,2,Lösungen für die Probleme,"Der Proband hält mehr Umverteilung in einem geschlossenen System grundsätzlich eher positiv, betont aber die hohe Kapitalmobilität als oft vernachlässigten Faktor. Er findet konservative und traditionelle Werte wenig bereichernd und kritisiert den Hyperfokus sowie die Intoleranz, die damit einhergehen. Entscheidungen zur Klimapolitik möchte er Experten überlassen und lehnt nationale Interessen als politischen Fokus als wenig bereichernd ab. Steuersenkungen und eine Reduzierung von Sozialleistungen hält er partiell für sinnvoll, wobei er den Sozialstaat nicht vorrangig kürzen würde. Weitere konkrete Vorschläge hat er nicht.",6.826326,11.079719
B4O0_121,34.0,weiblich,2000-3000€,Content-Managerin,Grüne,2,Allgemeines Weltbild,Das Interview endet mit Höflichkeitsfloskeln; der Proband macht keine inhaltlichen Aussagen mehr.,-6.367297,6.97091
B7V9_329,49.0,männlich,3000-5000€,Arzt,Grüne,1,Bewertung der aktuellen Lage in Deutschland,"Der Befragte sieht die tatsächliche Lage in Deutschland positiver als die allgemeine Stimmung, kritisiert jedoch mangelnden Optimismus und ein angespanntes gesellschaftliches Miteinander sowie fehlende Toleranz. Er lobt die Solidarität im Umgang mit dem Ukraine-Krieg und hält die Stimmung insgesamt für überwiegend negativ, weil Wandel und Sicherheiten infrage gestellt werden. Er erklärt, dass negative Erzählungen und selektive Wahrnehmung die Wahrnehmung eines deutschen Abgangs befördern und betont, dass der Erhalt unseres Status von der Mentalität abhängt. Für die Zukunft ist er optimistisch, wenn Veränderung angenommen wird. Er schlägt vor, Optimismus zu fördern, Kompromissbereitschaft und Toleranz zu stärken und Veränderungen aktiv zu gestalten.",6.780961,11.591071
B7V9_329,49.0,männlich,3000-5000€,Arzt,Grüne,1,Gründe für eine mögliche Krise Deutschlands,"Der Proband sieht Deutschlands Krisenrisiken vor allem in externen Faktoren begründet, da die deutsche Entwicklung stark von globalen Entwicklungen abhängt und durch die geografische Lage nicht losgelöst werden kann. Er kritisiert die politische Unklarheit über den Bundeshaushalt in Kombination mit Forderungen nach mehr Mitteln für internationale Politik und Verteidigung als Grund für eine toxische Stimmung im Land. Die Schuldenbremse im Grundgesetz wird als maßgebliches Hindernis für dringend notwendige Investitionen und als Ursache für erzwungene Priorisierungen gleich wichtiger Aufgaben gesehen. Als politische Gestaltungswünsche fordert der Proband langfristig höhere Ausgaben für internationale Politik und Verteidigung sowie eine neue Debattenkultur, die Schulden für Zukunftsinvestitionen anders bewertet als weniger nachhaltige Ausgaben.",6.780961,11.591071
B7V9_329,49.0,männlich,3000-5000€,Arzt,Grüne,1,Lösungen für die Probleme,"Der Befragte befürwortet eine stärkere Umverteilung von Superreichen zugunsten der Ärmeren und lehnt konservative, klimafeindliche sowie nationalistische Abschottungsstrategien entschieden ab. Er sieht Deutschlands Stärke in der friedlichen Vernetzung mit der Welt und plädiert für gesteuerte Migration aus demographischen Gründen sowie für eine konzentrierte Bekämpfung von Fluchtursachen auf EU-Ebene. Sozialkürzungen bewertet er als wirkungslos und schlägt stattdessen eine Privatisierung der Rente vor, diagnostiziert aber politische Zurückhaltung. Dem Leistungsprinzip stimmt er zu, fordert jedoch existenzsichernde Löhne und kritisiert die geringe Besteuerung superreicher Erben als ungerecht.",6.780961,11.591071
B7V9_329,49.0,männlich,3000-5000€,Arzt,Grüne,1,Allgemeines Weltbild,"Der Proband sieht gender-gerechte Sprache als persönliche Präferenz, erkennt zwar, dass Sprache gesellschaftliche Wirklichkeit formt, hält es aber für kontraproduktiv, den Gleichstellungskampf primär auf sprachlicher Ebene zu führen, da dies vom eigentlichen Anliegen ablenkt.",-6.334564,8.050937
B7V9_329,49.0,männlich,3000-5000€,Arzt,Grüne,1,Informationsquellen,"Der Befragte nutzt vorwiegend Online-Quellen wie nationale und internationale Medienportale, YouTube und Mediatheken sowie Chatgruppen für politische Informationen. Er bewertet die Berichterstattung von ARD und ZDF als überwiegend journalistisch wertvoll und professionell und hebt hervor, dass deren Nachrichtensendungen durch die Schaffung einer gemeinsamen Informationsgrundlage breite Anerkennung genießen.",17.320164,3.1594198
D4E2_967,54.0,männlich,3000-5000€,Ingenieur,CDU,0,Bewertung der aktuellen Lage in Deutschland,"Der Proband bewertet die gegenwärtige Lage in Deutschland als deprimierend und bezeichnet die allgemeine Stimmung als definitiv negativ. Er sieht die Wirtschaftslage als rückläufig, insbesondere durch Stellenabbau in der Automobilindustrie und geringere Investitionen. Positiv hebt er die politische Kultur hervor, die sich solider darstellt als in anderen Ländern. Als Erklärung für den gefühlten Niedergang nennt er fehlende Innovationskraft und steigende chinesische Konkurrenz. Für die Zukunft ist er pessimistisch und geht davon aus, dass es weiter bergab geht.",7.0108542,12.350879
D4E2_967,54.0,männlich,3000-5000€,Ingenieur,CDU,0,Gründe für eine mögliche Krise Deutschlands,"Der Befragte sieht Deutschlands Probleme als hausgemacht an und macht die Politik der Merkeljahre sowie eine passive, verteilende Haltung und Risikoaversion der letzten 20 Jahre verantwortlich. Er erwartet, dass ohne Änderungen ein wirtschaftlicher Abstieg und zunehmende Verteilungskämpfe aufgrund demografischer Probleme eintreten werden.",7.0108542,12.350879
D4E2_967,54.0,männlich,3000-5000€,Ingenieur,CDU,0,Lösungen für die Probleme,"Der Befragte lehnt pauschale Umverteilung, konservative Werte, nationalistische und isolationistische Strategien ab, da sie Risiken bergen oder auf europäische Abhängigkeiten treffen. Er schlägt stattdessen vor, Klimaschutzregeln anhand einer Kosten-Nutzen-Bilanz zu prüfen und nur förderliche beizubehalten. Generelle Steuer- und Sozialkürzungen sind ihm zu simpel, allenfalls gezielt in Einzelfällen sinnvoll. Er betont die Bedeutung von Anreizen, will diese aber nicht auf Arbeitslose oder Geflüchtete richten, sondern bevorzugt Entlastungen für die Mittelschicht.",7.0108542,12.350879
D4E2_967,54.0,männlich,3000-5000€,Ingenieur,CDU,0,Allgemeines Weltbild,"Der Proband hält den Leitspruch nicht mehr in seiner absoluten Form für zutreffend, da sich die Gesellschaft zu weit von diesem Ideal entfernt hat.",-7.0206213,6.092616
D5B4_996,43.0,weiblich,2000-3000€,Lehrerin,SPD,1,Bewertung der aktuellen Lage in Deutschland,"Der Proband bewertet die aktuelle Lage in Deutschland als eher schwierig und negativ, da politische Blockaden, wirtschaftliche Unsicherheit und internationale Krisen die Stimmung und Entwicklung bremsen. Er erklärt, dass Jobabbau in einst sicheren Branchen, steigende Arbeitslosigkeit, Preissteigerungen, Unternehmensschließungen und die Angst vor Krieg zum Pessimismus beitragen. Er sieht keinen Bereich, in dem es gut läuft, und stellt rassistische sowie polemische Tendenzen im persönlichen Umfeld fest. Für die Zukunft prognostiziert er einen leichten Abwärtstrend, bleibt aber zugleich ambivalent zwischen Sorge und Optimismus, da manche Probleme sich selbst lösen könnten und noch Potenzial für Veränderungen besteht. Er fordert einen starken politischen Impuls mit einem klaren Plan sowie umfassende Reformen, um die Wirtschaft zu beleben und den internationalen Anschluss Deutschlands zu sichern.",7.2801814,11.681768
D5B4_996,43.0,weiblich,2000-3000€,Lehrerin,SPD,1,Gründe für eine mögliche Krise Deutschlands,"Der Befragte sieht bei Deutschlands aktuellen Problemen sowohl äußere Faktoren (Covid-Pandemie, Ukraine-Krieg und daraus resultierende Inflation) als auch hausgemachte Ursachen (Krise der Autoindustrie, unzureichende Renten- und Infrastrukturpolitik). Er erklärt, dass die Inflation den Wirtschaftsstandort weniger lukrativ macht und die Nachfrage durch Verunsicherung sinkt, während langfristige politische Vernachlässigung zu Strukturproblemen geführt hat. Als zentrale Lösungsansätze fordert er eine handlungsfähige, konstruktive Regierung mit klarem Wirtschaftsplan, die Schuldenbremse temporär auszusetzen sowie einen verbindlichen langfristigen Plan, um Unternehmen Sicherheit zu geben.",7.2801814,11.681768
D5B4_996,43.0,weiblich,2000-3000€,Lehrerin,SPD,1,Lösungen für die Probleme,"Der Proband ist grundsätzlich skeptisch gegenüber einfachen, populistischen Maßnahmen und lehnt Vorschläge ab, die ungerecht erscheinen oder kurzfristig wirken, wie die Abschaffung von Klimaschutzregeln, eine einseitige Betonung nationaler Interessen ohne EU-Zusammenarbeit, Abschottung gegen Migration oder Steuersenkungen verbunden mit Sozialkürzungen. Er betont stattdessen die Notwendigkeit von gezielter Umverteilung durch höhere Erbschafts- und Vermögenssteuern, den Ausbau erneuerbarer Energien und eine effiziente Verwaltung (insbesondere bei Ausländerbehörden). Er hält konservative Werte für mitverantwortlich für die aktuellen Probleme und plädiert für eine progressivere Ausrichtung in der Zukunft. Gleichzeitig glaubt er, dass Deutschland nur im EU-Verbund stark sein kann. Als Alternative zu Kürzungen und Leistungsentzug schlägt er vor, soziale Verbesserungen ohne Einschnitte bei den Wohlhabenden umzusetzen und durch steuerliche Freibeträge sowie höhere Spitzensteuersätze Anreize zu setzen.",7.2801814,11.681768
D5B4_996,43.0,weiblich,2000-3000€,Lehrerin,SPD,1,Allgemeines Weltbild,"Der Proband hält das Sprichwort ‚Jeder ist seines eigenen Glückes Schmied‘ für überwiegend auf Mittel- und Oberschichtangehörige zutreffend, da hohe finanzielle Belastungen für viele die Selbstverbesserung unmöglich machen und Unternehmensgründungen ohne Absicherung deutlich schwerer sind. Er blickt optimistisch in die Zukunft, weil die Probleme bekannt sind und durch gesellschaftliche Einigung, Normalisierung nach einer Hochphase, Ausbau erneuerbarer Energien zur Inflationssenkung sowie geduldiges Abwarten internationaler Krisen bewältigt werden können. Dabei fordert er, dass sich die Gesellschaft auf einen gemeinsamen Lösungsweg einigt und Deutschland Geduld zeigt.",-6.7429423,7.503615
E4D4_101,,,,,,nan,Bewertung der aktuellen Lage in Deutschland,"Der Proband verweigert eine Diskussion über die aktuelle Lage in Deutschland und schlägt stattdessen vor, über Fußball zu sprechen.",7.887105,12.173368
E4D4_101,,,,,,nan,Gründe für eine mögliche Krise Deutschlands,"Der Interviewabschnitt enthält keine Aussagen zur aktuellen Lage in Deutschland oder politischen Einschätzungen. Der Proband thematisiert stattdessen persönliche Missverständnisse bezüglich Freundschaft, Vertrauen und Geld.",7.887105,12.173368
E4D4_101,,,,,,nan,Lösungen für die Probleme,"Der Proband hat nur ein ""h"" geantwortet und keine inhaltlichen Aussagen zu Lösungen oder Maßnahmen gemacht.",7.887105,12.173368
E4D4_101,,,,,,nan,Allgemeines Weltbild,"Der Proband hat auf die Fragen kein inhaltlich verständliches Feedback gegeben und liefert keine Bewertungen, Erklärungen oder Vorschläge.",-7.9352427,7.657336
E4E3_989,34.0,männlich,2000-3000€,Sachbearbeiter,CDU,2,Bewertung der aktuellen Lage in Deutschland,"Der Befragte äußert eine sehr negative Haltung zur aktuellen Situation in Deutschland, insbesondere zur Politik und zur Regierung. Er sieht drei zentrale Problembereiche: Pflege, Wirtschaft und Grenzpolitik. Als Folge des Pflegekräftemangels erklärt er, dass ältere Menschen unterversorgt werden. Als Lösung schlägt er vor, Pflegekräften mehr Gehalt zu zahlen, um den Pflegeberuf attraktiver zu machen und so den Mangel zu beheben.",5.2744365,10.723122
E4E3_989,34.0,männlich,2000-3000€,Sachbearbeiter,CDU,2,Gründe für eine mögliche Krise Deutschlands,"Der Befragte sieht neben höheren Gehältern keine weiteren Maßnahmen, um die Attraktivität des Pflegeberufs zu steigern.",5.2744365,10.723122
E4E3_989,34.0,männlich,2000-3000€,Sachbearbeiter,CDU,2,Lösungen für die Probleme,"Der Proband sieht Deutschland als Wirtschaftsstandort derzeit nicht mehr wettbewerbsfähig und schlägt als Lösung Steuersenkungen vor, obwohl er unschöne Verteilungseffekte anerkennt. Er lehnt es jedoch strikt ab, Sozialleistungen zu reduzieren, weil dies aus seiner Sicht unmenschlich gegenüber Bedürftigen wäre. Die aktuelle Grenzsituation empfindet er als inhuman, da sie weder offen noch geschlossen ist und dadurch Tausende ihr Leben riskieren. Für eine humane und effektive Grenzpolitik hat er keine konkreten Vorschläge.",5.2744365,10.723122
F5E3_704,,,,,,1,Bewertung der aktuellen Lage in Deutschland,"Der Proband bewertet sowohl die allgemeine Lage in Deutschland als auch speziell die wirtschaftliche Situation als gut, gibt jedoch keine weiteren Details oder Kritikpunkte an.",8.260651,12.545451
F5E3_704,,,,,,1,Gründe für eine mögliche Krise Deutschlands,"Der Proband verweigert konkrete Aussagen zu möglichen Krisenursachen und bewertet die aktuelle Lage in Deutschland als unproblematisch, indem er erklärt, es gebe keine Probleme.",8.260651,12.545451
F5E3_704,,,,,,1,Lösungen für die Probleme,"Der Befragte lehnt eine einkommensbasierte Umverteilung ab, da höhere Einkommen mobiler seien und solche Regeln daher wirkungslos seien. Stattdessen hält er Vermögen für den geeigneten Ansatzpunkt. Er schlägt vor, eine gesetzliche Verpflichtung zur Offenlegung von Vermögen einzuführen, um damit die Grundlage für eine Vermögenssteuer zu schaffen. Eine solche Steuer auf passives Vermögen würde seiner Einschätzung nach keine wirtschaftlich negativen Effekte mit sich bringen.",8.260651,12.545451
F6N2_999,44.0,männlich,5000-7500€,Leitender Angestellter,Grüne,1,Bewertung der aktuellen Lage in Deutschland,"Der Befragte bewertet die gegenwärtige Lage in Deutschland als eher negativ, unsicher und geprägt von mangelnder politischer Zusammenarbeit. Insbesondere das Bildungssystem und die Anerkennung ausländischer Ausbildungen empfindet er als unzureichend. Positiv hebt er die demokratischen Grundsätze, das ehrenamtliche Engagement und die vielfältigen Möglichkeiten hervor. Er erklärt die schlechte Stimmung u. a. durch die prekäre Versorgung vieler Kinder und den wirtschaftlichen Schwund sowie fehlende Solidarität. Als Lösung schlägt er vor, ausländische Fachausbildungen umfassend anzuerkennen und dies als großes Projekt staatlich zu unterstützen.",5.680514,10.916448
